line,Trait,trait_value,Reference,# lines measured,Sex,Life_stage,Trait guild,Trait description,study_ID,Pooled,Trait_nice,Trait_ID
375,fitness.early.life.f,-0.14567429991839842,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
379,fitness.early.life.f,0.14343625071350674,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
380,fitness.early.life.f,1.0579033127122457,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
382,fitness.early.life.f,-1.7696659034679356,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
383,fitness.early.life.f,-0.4219091005221612,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
385,fitness.early.life.f,0.7534501620468063,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
391,fitness.early.life.f,-0.7186387011707192,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
392,fitness.early.life.f,0.5505938016034257,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
395,fitness.early.life.f,-0.10319869982556006,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
397,fitness.early.life.f,-4.390305909195835,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
399,fitness.early.life.f,-1.0366211018657292,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
405,fitness.early.life.f,0.868168662297545,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
406,fitness.early.life.f,-0.3486462003620314,Wong and Holman (in prep),125,Female,Adult,Life history,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",114,No,Fitness early life (F),334
